timestamp,local,event,type,direction,src,dst,control,crc,message_preview,next_hop_ip,next_hop_port
2026-06-18 15:41:38,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:39,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:39,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:40,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:40,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:41,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:41,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:42,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:42,B,RECV_DATA,2000,IN,A,B,maquinainexistente,4188974130,tchau,,
2026-06-18 15:41:42,B,ACK,2000,OUT,A,B,ACK,4188974130,tchau,192.168.0.218,6001
2026-06-18 15:41:42,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:43,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:44,B,RECV_DATA,2000,IN,A,B,maquinainexistente,4188974130,tchau,,
2026-06-18 15:41:44,B,ACK,2000,OUT,A,B,ACK,4188974130,tchau,192.168.0.218,6001
2026-06-18 15:41:44,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:44,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:45,B,RECV_DATA,2000,IN,A,B,maquinainexistente,4188974130,tchau,,
2026-06-18 15:41:45,B,ACK,2000,OUT,A,B,ACK,4188974130,tchau,192.168.0.218,6001
2026-06-18 15:41:45,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:45,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:46,B,RECV_DATA,2000,IN,A,B,maquinainexistente,4188974130,tchau,,
2026-06-18 15:41:46,B,ACK,2000,OUT,A,B,ACK,4188974130,tchau,192.168.0.218,6001
2026-06-18 15:41:46,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:46,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:47,B,RECV_DATA,2000,IN,A,B,maquinainexistente,4188974130,tchau,,
2026-06-18 15:41:47,B,ACK,2000,OUT,A,B,ACK,4188974130,tchau,192.168.0.218,6001
2026-06-18 15:41:47,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:47,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:48,B,RECV_DATA,2000,IN,A,B,maquinainexistente,4188974130,tchau,,
2026-06-18 15:41:48,B,ACK,2000,OUT,A,B,ACK,4188974130,tchau,192.168.0.218,6001
2026-06-18 15:41:48,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:48,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:49,B,RECV_DATA,2000,IN,A,B,maquinainexistente,4188974130,tchau,,
2026-06-18 15:41:49,B,ACK,2000,OUT,A,B,ACK,4188974130,tchau,192.168.0.218,6001
2026-06-18 15:41:49,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:49,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:50,B,RECV_DATA,2000,IN,A,B,maquinainexistente,4188974130,tchau,,
2026-06-18 15:41:50,B,ACK,2000,OUT,A,B,ACK,4188974130,tchau,192.168.0.218,6001
2026-06-18 15:41:50,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:50,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:51,B,RECV_DATA,2000,IN,A,B,maquinainexistente,4188974130,tchau,,
2026-06-18 15:41:51,B,ACK,2000,OUT,A,B,ACK,4188974130,tchau,192.168.0.218,6001
2026-06-18 15:41:51,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:51,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:52,B,RECV_DATA,2000,IN,A,B,maquinainexistente,4188974130,tchau,,
2026-06-18 15:41:52,B,ACK,2000,OUT,A,B,ACK,4188974130,tchau,192.168.0.218,6001
2026-06-18 15:41:52,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:52,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:53,B,RECV_DATA,2000,IN,A,B,maquinainexistente,4188974130,tchau,,
2026-06-18 15:41:53,B,ACK,2000,OUT,A,B,ACK,4188974130,tchau,192.168.0.218,6001
2026-06-18 15:41:53,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:53,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:54,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:54,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:55,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
